RTO CODE,RTO NAME,DISTRICT
KL01,KL01 - Thiruvananthapuram,Thiruvananthapuram
KL02,KL02 - Kollam,Kollam
KL03,KL03 - Pathanamthitta,Pathanamthitta
KL04,KL04 - Alappuzha,Alappuzha
KL05,KL05 - Kottayam,Kottayam
KL06,KL06 - Idukki,Idukki
KL07,KL07 - Ernakulam,Ernakulam
KL08,KL08 - Thrissur,Thrissur
KL09,KL09 - Palakkad,Palakkad
KL10,KL10 - Malappuram,Malappuram
KL11,KL11 - Kozhikode,Kozhikode
KL12,KL12 - Wayanad,Wayanad
KL13,KL13 - Kannur,Kannur
KL14,KL14 - Kasargod,Kasargod
KL15,KL15 - KSRTC,Thiruvananthapuram
KL16,KL16 - Attingal,Thiruvananthapuram
KL17,KL17 - Muvattupuzha,Ernakulam
KL18,KL18 - Vadakara,Kozhikode
KL19,KL19 - Parassala,Thiruvananthapuram
KL20,KL20 - Neyyattinkara,Thiruvananthapuram
KL21,KL21 - Nedumangad,Thiruvananthapuram
KL22,KL22 - Kazhakoottam,Thiruvananthapuram
KL23,KL23 - Karunagappalli,Kollam
KL24,KL24 - Kottarakkara,Kollam
KL25,KL25 - Punalur,Kollam
KL26,KL26 - Adoor,Pathanamthitta
KL27,KL27 - Thiruvalla,Pathanamthitta
KL28,KL28 - Mallappally,Pathanamthitta
KL29,KL29 - Kayamkulam,Alappuzha
KL30,KL30 - Chengannur,Alappuzha
KL31,KL31 - Mavelikkara,Alappuzha
KL32,KL32 - Cherthala,Alappuzha
KL33,KL33 - Changanassery,Kottayam
KL34,KL34 - Kanjirappally,Kottayam
KL35,KL35 - Pala,Kottayam
KL36,KL36 - Vaikom,Kottayam
KL37,KL37 - Vandiperiyar,Idukki
KL38,KL38 - Thodupuzha,Idukki
KL39,KL39 - Thripunithura,Ernakulam
KL40,KL40 - Perumbavoor,Ernakulam
KL41,KL41 - Aluva,Ernakulam
KL42,KL42 - North Paravur,Ernakulam
KL43,KL43 - Mattancherry,Ernakulam
KL44,KL44 - Kothamangalam,Ernakulam
KL45,KL45 - Irinjalakuda,Thrissur
KL46,KL46 - Guruvayur,Thrissur
KL47,KL47 - Kodungalloor,Thrissur
KL48,KL48 - Wadakkanchery,Thrissur
KL49,KL49 - Alathur,Palakkad
KL50,KL50 - Mannarkkad,Palakkad
KL51,KL51 - Ottappalam,Palakkad
KL52,KL52 - Pattambi,Palakkad
KL53,KL53 - Perinthalmanna,Malappuram
KL54,KL54 - Ponnani,Malappuram
KL55,KL55 - Tirur,Malappuram
KL56,KL56 - Koyilandy,Kozhikode
KL57,KL57 - Koduvally,Kozhikode
KL58,KL58 - Thalassery,Kannur
KL59,KL59 - Taliparamba,Kannur
KL60,KL60 - Kanhangad,Kasargod
KL61,KL61 - Kunnathur,Kollam
KL62,KL62 - Ranni,Pathanamthitta
KL63,KL63 - Angamaly,Ernakulam
KL64,KL64 - Chalakkudy,Thrissur
KL65,KL65 - Tirurangadi,Malappuram
KL66,KL66 - Kuttanad,Alappuzha
KL67,KL67 - Uzhavoor,Kottayam
KL68,KL68 - Devikulam,Idukki
KL69,KL69 - Udumbanchola,Idukki
KL70,KL70 - Chittur,Palakkad
KL71,KL71 - Nilambur,Malappuram
KL72,KL72 - Mananthavady,Wayanad
KL73,KL73 - Sulthan Bathery,Wayanad
KL74,KL74 - Kattakkada,Thiruvananthapuram
KL75,KL75 - Thriprayar,Thrissur
KL76,KL76 - Nanmanda,Kozhikode
KL77,KL77 - Perambra,Kozhikode
KL78,KL78 - Iritty,Kannur
KL79,KL79 - Vellarikundu,Kasargod
KL80,KL80 - Pathanapuram,Kollam
KL81,KL81 - Varkala,Thiruvananthapuram
KL82,KL82 - Chadayamangalam,Kollam
KL83,KL83 - Konni,Pathanamthitta
KL84,KL84 - Kondotty,Malappuram
KL85,KL85 - Ramanattukara,Kozhikode
KL86,KL86 - Payyannur,Kannur
